114709,8.3,Comedy|Adventure
113497,6.9,Action|Adventure
113228,6.6,Comedy|Romance
114885,5.7,Comedy|Romance|Drama
113041,5.9,Comedy|Romance
113277,8.2,Crime|Action|Drama
114319,6.3,Comedy|Drama
114576,5.7,Crime|Thriller|Action
113189,7.2,Thriller|Action|Adventure
112346,6.8,Comedy|Romance|Drama
112896,5.8,Comedy|Horror
112453,7.1,Drama|Adventure
113987,7.1,Drama
112760,5.6,Comedy|Action|Adventure
112641,8.2,Crime|Drama
114388,7.7,Romance|Drama
113101,6.7,Comedy
112281,6.3,Crime|Comedy|Adventure
113845,5.6,Crime|Comedy|Action
113161,6.9,Crime|Comedy|Thriller
112722,6.6,Crime|Mystery|Drama
112401,6.3,Crime|Thriller|Action
114168,6.5,Mystery|Drama
113627,7.6,Romance|Drama
114057,6.9,Romance|Drama
114011,6.8,Comedy|Romance|Drama
114117,7.7,Drama
112792,6.4,Drama
114746,8,Mystery|Thriller
114952,6.5,Romance|Adventure
112431,6.8,Comedy|Drama
112637,6.9,Romance|Drama
112818,7.6,Crime|Drama
112286,6.4,Drama|Adventure
113442,5.7,Comedy|Romance
112749,6.9,Thriller|Drama
114279,7.5,Drama
112819,6.8,Crime|Action|Drama
114272,6.7,Drama
113855,5.8,Action|Adventure
114681,6.8,Crime|Comedy|Drama
114369,8.6,Crime|Mystery|Drama
114148,6.7,Drama|Adventure
114916,6.7,Romance|Drama
114814,8.6,Crime|Mystery|Drama
113819,7.1,Comedy|Romance
113158,6.5,Drama
113541,5,Comedy|Adventure
113321,6.6,Comedy|Romance|Drama
110877,7.7,Comedy|Drama
112714,7.6,Mystery|Thriller|Drama
113419,5.9,Drama
116260,6.1,Crime|Thriller|Drama
113862,7.3,Drama
116126,6.6,Crime|Comedy
118002,5.2,Crime|Comedy|Romance
115683,4.4,Comedy
116839,2.4,Thriller|Action
114753,6.3,Drama
113149,6.4,Comedy
113118,7.3,Comedy|Drama
116367,7.3,Crime|Action|Horror
113828,7.5,Drama
115644,6.1,Romance|Drama
115676,4.5,Comedy|Thriller
114367,6.4,Thriller
113973,7.3,Documentary
112744,6.3,Thriller|Drama
116731,5.6,Thriller|Drama
112445,7.8,Drama
114660,6.8,Crime|Drama
112379,7.5,Comedy|Drama
114039,7.2,Romance|Drama
113612,6.1,Comedy|Drama
112365,7,Romance|Drama
118158,6.6,Drama|Adventure
116151,5.3,Comedy|Adventure
115697,6.2,Comedy
113972,6.3,Crime|Action|Drama
113490,6.6,Drama
114825,4.5,Comedy|Horror
115639,7.2,Comedy|Romance|Drama
115759,6,Crime|Thriller|Action
113403,7.3,Comedy
113247,8.1,Crime|Drama
111173,5.4,Crime|Action|Drama
113283,6.6,Documentary
115907,6.2,Drama
117102,3.8,Comedy
118040,6,Mystery|Drama
110251,7.3,Comedy|Drama
117110,6.9,Comedy|Action|Adventure
112646,6.4,Documentary
113276,4.7,Crime|Comedy|Drama
112573,8.4,Drama
113326,6.7,Crime|Comedy|Action
115645,6.1,Crime|Mystery|Drama
113774,7.3,Drama
112556,7,Comedy
112373,8.1,Documentary
115033,7.1,Crime|Drama
116606,4.9,Comedy|Romance
114536,4.8,Comedy
117427,5.3,Comedy|Drama|Adventure
106473,7.7,Drama
103859,5.4,Comedy|Romance|Drama
109424,8.1,Comedy|Romance|Drama
116324,6.8,Comedy
110217,7.2,Documentary|Mystery
114131,5.8,Comedy|Romance
112364,6.4,Drama
113107,6.7,Romance|Drama
113451,5.2,Crime|Thriller|Drama
114500,7.3,Documentary
116130,6,Comedy
113125,7.1,Documentary
113756,6.1,Comedy|Romance
113952,6.2,Drama
118055,6.1,Romance|Drama
115685,7,Comedy
113200,5.1,Drama
112585,6.6,Comedy|Romance|Drama
112442,6.8,Crime|Comedy|Action
112342,5.8,Drama|Adventure
112461,7.3,Crime|Drama
112427,6,Comedy|Romance|Drama
109093,7,Crime|Comedy|Drama
112384,7.6,Drama|Adventure
114287,6.9,Adventure
112288,6.4,Horror
112462,5.4,Action|Adventure
61395,7.8,Drama
112495,6.6,Action|Drama
109370,5.9,Comedy
112642,6,Comedy
